id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo
1,1,6,2026
2,1,1,2026
3,1,8,2026
4,2,12,2026
5,2,1,2026
6,2,9,2026
7,3,9,2026
8,3,7,2026
9,3,5,2026
10,4,1,2026
11,4,7,2026
12,4,8,2026
13,5,6,2026
14,5,7,2026
15,5,1,2026
16,6,3,2026
17,6,1,2026
18,6,9,2026
19,7,1,2026
20,7,11,2026
21,7,2,2026
22,8,10,2026
23,8,3,2026
24,8,13,2026
25,9,1,2026
26,9,3,2026
27,9,12,2026
28,10,13,2026
29,10,2,2026
30,10,6,2026
31,11,13,2026
32,11,5,2026
33,11,4,2026
34,13,10,2026
35,13,1,2026
36,13,5,2026
37,14,5,2026
38,14,9,2026
39,14,10,2026
40,15,1,2026
41,15,10,2026
42,15,4,2026
43,21,3,2026
44,21,13,2026
45,21,6,2026
46,22,4,2026
47,22,13,2026
48,22,12,2026
49,23,3,2026
50,23,1,2026
51,23,13,2026
52,24,4,2026
53,24,6,2026
54,24,2,2026
55,25,1,2026
56,25,3,2026
57,25,6,2026
58,27,11,2026
59,27,6,2026
60,27,12,2026
61,28,1,2026
62,28,2,2026
63,28,10,2026
64,29,12,2026
65,29,4,2026
66,29,6,2026
67,30,5,2026
68,30,6,2026
69,30,11,2026
70,32,1,2026
71,32,4,2026
72,32,7,2026
73,36,10,2026
74,36,9,2026
75,36,12,2026
76,37,13,2026
77,37,9,2026
78,37,5,2026
79,38,12,2026
80,38,4,2026
81,38,10,2026
82,39,4,2026
83,39,13,2026
84,39,12,2026
85,40,3,2026
86,40,5,2026
87,40,4,2026
88,42,7,2026
89,42,3,2026
90,42,10,2026
91,43,7,2026
92,43,3,2026
93,43,1,2026
94,44,13,2026
95,44,9,2026
96,44,1,2026
97,45,6,2026
98,45,10,2026
99,45,9,2026
100,46,11,2026
101,46,4,2026
102,46,2,2026
103,47,3,2026
104,47,5,2026
105,47,12,2026
106,48,2,2026
107,48,3,2026
108,48,10,2026
109,49,1,2026
110,49,8,2026
111,49,6,2026
112,51,13,2026
113,51,10,2026
114,51,7,2026
115,53,6,2026
116,53,10,2026
117,53,12,2026
118,55,10,2026
119,55,3,2026
120,55,1,2026
121,56,2,2026
122,56,3,2026
123,56,4,2026
124,58,8,2026
125,58,7,2026
126,58,4,2026
127,60,2,2026
128,60,8,2026
129,60,12,2026
130,61,5,2026
131,61,10,2026
132,61,6,2026
133,62,5,2026
134,62,3,2026
135,62,2,2026
136,63,1,2026
137,63,7,2026
138,63,3,2026
139,66,10,2026
140,66,5,2026
141,66,11,2026
142,67,2,2026
143,67,10,2026
144,67,4,2026
145,69,8,2026
146,69,6,2026
147,69,10,2026
148,70,13,2026
149,70,2,2026
150,70,10,2026
151,71,3,2026
152,71,13,2026
153,71,7,2026
154,73,8,2026
155,73,2,2026
156,73,4,2026
157,74,2,2026
158,74,8,2026
159,74,6,2026
160,75,4,2026
161,75,12,2026
162,75,7,2026
163,77,3,2026
164,77,7,2026
165,77,5,2026
166,78,8,2026
167,78,6,2026
168,78,3,2026
169,79,11,2026
170,79,9,2026
171,79,13,2026
172,82,7,2026
173,82,5,2026
174,82,13,2026
175,84,2,2026
176,84,3,2026
177,84,1,2026
178,85,10,2026
179,85,7,2026
180,85,2,2026
181,86,8,2026
182,86,4,2026
183,86,1,2026
184,87,1,2026
185,87,10,2026
186,87,12,2026
187,88,3,2026
188,88,11,2026
189,88,9,2026
190,89,5,2026
191,89,6,2026
192,89,3,2026
193,90,5,2026
194,90,1,2026
195,90,4,2026
196,91,3,2026
197,91,12,2026
198,91,2,2026
199,92,2,2026
200,92,6,2026
201,92,4,2026
202,93,6,2026
203,93,13,2026
204,93,1,2026
205,95,6,2026
206,95,2,2026
207,95,5,2026
208,96,4,2026
209,96,12,2026
210,96,3,2026
211,97,2,2026
212,97,10,2026
213,97,11,2026
214,98,2,2026
215,98,5,2026
216,98,4,2026
217,99,11,2026
218,99,1,2026
219,99,9,2026
220,100,8,2026
221,100,13,2026
222,100,10,2026
223,101,8,2026
224,101,11,2026
225,101,3,2026
226,102,5,2026
227,102,8,2026
228,102,10,2026
229,104,3,2026
230,104,6,2026
231,104,5,2026
232,105,3,2026
233,105,13,2026
234,105,2,2026
235,106,9,2026
236,106,13,2026
237,106,4,2026
238,108,12,2026
239,108,5,2026
240,108,11,2026
241,109,13,2026
242,109,11,2026
243,109,6,2026
244,110,12,2026
245,110,9,2026
246,110,2,2026
247,112,10,2026
248,112,3,2026
249,112,1,2026
250,114,5,2026
251,114,9,2026
252,114,8,2026
253,115,8,2026
254,115,1,2026
255,115,7,2026
256,116,8,2026
257,116,11,2026
258,116,7,2026
259,117,10,2026
260,117,4,2026
261,117,12,2026
262,118,4,2026
263,118,3,2026
264,118,10,2026
265,121,10,2026
266,121,9,2026
267,121,7,2026
268,122,6,2026
269,122,2,2026
270,122,13,2026
271,123,10,2026
272,123,1,2026
273,123,3,2026
274,125,6,2026
275,125,8,2026
276,125,9,2026
277,126,11,2026
278,126,5,2026
279,126,7,2026
280,127,5,2026
281,127,1,2026
282,127,9,2026
283,128,6,2026
284,128,11,2026
285,128,9,2026
286,129,13,2026
287,129,6,2026
288,129,9,2026
289,130,9,2026
290,130,4,2026
291,130,13,2026
292,131,3,2026
293,131,6,2026
294,131,7,2026
295,132,12,2026
296,132,8,2026
297,132,3,2026
298,133,7,2026
299,133,3,2026
300,133,1,2026
301,136,12,2026
302,136,9,2026
303,136,5,2026
304,137,7,2026
305,137,8,2026
306,137,3,2026
307,138,11,2026
308,138,10,2026
309,138,3,2026
310,139,6,2026
311,139,5,2026
312,139,4,2026
313,140,13,2026
314,140,11,2026
315,140,6,2026
316,142,12,2026
317,142,6,2026
318,142,2,2026
319,143,13,2026
320,143,10,2026
321,143,7,2026
322,144,3,2026
323,144,9,2026
324,144,13,2026
325,146,3,2026
326,146,13,2026
327,146,6,2026
328,147,1,2026
329,147,2,2026
330,147,9,2026
331,148,3,2026
332,148,6,2026
333,148,11,2026
334,149,11,2026
335,149,7,2026
336,149,3,2026
337,150,13,2026
338,150,5,2026
339,150,8,2026
340,151,3,2026
341,151,9,2026
342,151,7,2026
343,152,4,2026
344,152,10,2026
345,152,5,2026
346,153,3,2026
347,153,11,2026
348,153,1,2026
349,154,2,2026
350,154,3,2026
351,154,12,2026
352,155,4,2026
353,155,5,2026
354,155,2,2026
355,156,5,2026
356,156,10,2026
357,156,12,2026
358,157,3,2026
359,157,10,2026
360,157,1,2026
361,160,13,2026
362,160,1,2026
363,160,10,2026
364,161,12,2026
365,161,11,2026
366,161,7,2026
367,162,7,2026
368,162,3,2026
369,162,8,2026
370,163,1,2026
371,163,3,2026
372,163,7,2026
373,165,7,2026
374,165,1,2026
375,165,5,2026
376,167,6,2026
377,167,1,2026
378,167,10,2026
379,168,6,2026
380,168,7,2026
381,168,4,2026
382,169,3,2026
383,169,2,2026
384,169,8,2026
385,170,5,2026
386,170,11,2026
387,170,1,2026
388,171,1,2026
389,171,12,2026
390,171,4,2026
391,172,10,2026
392,172,2,2026
393,172,1,2026
394,173,12,2026
395,173,2,2026
396,173,10,2026
397,175,4,2026
398,175,13,2026
399,175,6,2026
400,176,13,2026
401,176,4,2026
402,176,9,2026
403,177,10,2026
404,177,3,2026
405,177,12,2026
406,179,3,2026
407,179,5,2026
408,179,8,2026
409,180,2,2026
410,180,13,2026
411,180,10,2026
412,181,4,2026
413,181,7,2026
414,181,1,2026
415,183,12,2026
416,183,1,2026
417,183,7,2026
418,184,1,2026
419,184,9,2026
420,184,3,2026
421,186,8,2026
422,186,13,2026
423,186,11,2026
424,187,1,2026
425,187,6,2026
426,187,7,2026
427,188,5,2026
428,188,7,2026
429,188,2,2026
430,190,11,2026
431,190,12,2026
432,190,7,2026
433,191,1,2026
434,191,8,2026
435,191,7,2026
436,192,3,2026
437,192,7,2026
438,192,5,2026
439,193,4,2026
440,193,12,2026
441,193,9,2026
442,194,12,2026
443,194,6,2026
444,194,1,2026
445,195,1,2026
446,195,10,2026
447,195,6,2026
448,196,4,2026
449,196,8,2026
450,196,3,2026
451,197,4,2026
452,197,5,2026
453,197,7,2026
454,199,2,2026
455,199,8,2026
456,199,7,2026
457,201,11,2026
458,201,3,2026
459,201,4,2026
460,202,11,2026
461,202,2,2026
462,202,4,2026
463,203,4,2026
464,203,7,2026
465,203,2,2026
466,204,1,2026
467,204,11,2026
468,204,10,2026
469,205,5,2026
470,205,13,2026
471,205,2,2026
472,206,7,2026
473,206,5,2026
474,206,3,2026
475,207,4,2026
476,207,12,2026
477,207,2,2026
478,208,7,2026
479,208,6,2026
480,208,5,2026
481,209,5,2026
482,209,2,2026
483,209,4,2026
484,211,8,2026
485,211,3,2026
486,211,13,2026
487,213,8,2026
488,213,11,2026
489,213,7,2026
490,214,9,2026
491,214,6,2026
492,214,8,2026
493,215,7,2026
