id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo,media_geral
1,1,6,2026,6.5
2,1,8,2026,6.4
3,1,13,2026,6.7
4,1,12,2026,6.5
5,1,1,2026,6.2
6,2,9,2026,9.4
7,2,11,2026,8.8
8,2,6,2026,7.4
9,2,2,2026,9.5
10,2,12,2026,8.4
11,3,3,2026,5.5
12,3,6,2026,5.4
13,3,9,2026,6.0
14,3,11,2026,5.1
15,3,13,2026,6.7
16,4,7,2026,6.1
17,4,8,2026,5.8
18,4,1,2026,5.1
19,4,5,2026,5.9
20,4,2,2026,6.5
21,5,11,2026,7.0
22,5,5,2026,9.1
23,5,9,2026,9.1
24,5,1,2026,8.7
25,5,12,2026,9.3
26,6,4,2026,2.0
27,6,1,2026,4.0
28,6,8,2026,3.2
29,6,6,2026,3.1
30,6,11,2026,0.4
31,7,8,2026,7.2
32,7,6,2026,7.1
33,7,2,2026,8.8
34,7,3,2026,8.0
35,7,5,2026,7.6
36,8,11,2026,7.1
37,8,7,2026,9.0
38,8,12,2026,7.4
39,8,6,2026,9.0
40,8,1,2026,8.5
41,9,12,2026,1.8
42,9,8,2026,1.3
43,9,13,2026,0.6
44,9,4,2026,3.8
45,9,1,2026,1.7
46,10,13,2026,9.5
47,10,12,2026,9.2
48,10,6,2026,9.7
49,10,5,2026,8.5
50,10,7,2026,9.1
51,11,11,2026,7.8
52,11,5,2026,8.5
53,11,10,2026,7.8
54,11,8,2026,9.1
55,11,7,2026,8.8
56,12,6,2026,6.5
57,12,2,2026,6.9
58,12,4,2026,5.1
59,12,10,2026,6.2
60,12,9,2026,6.2
61,13,7,2026,8.3
62,13,1,2026,7.1
63,13,12,2026,8.7
64,13,3,2026,7.1
65,13,4,2026,9.3
66,14,7,2026,8.8
67,14,1,2026,9.8
68,14,10,2026,8.9
69,14,11,2026,8.8
70,14,5,2026,7.8
71,15,6,2026,7.4
72,15,2,2026,7.1
73,15,4,2026,9.6
74,15,1,2026,8.3
75,15,7,2026,7.1
76,16,8,2026,4.0
77,16,13,2026,2.2
78,16,9,2026,3.6
79,16,11,2026,0.2
80,16,1,2026,3.2
81,17,13,2026,7.1
82,17,5,2026,7.2
83,17,3,2026,8.9
84,17,8,2026,7.7
85,17,2,2026,7.5
86,18,9,2026,8.1
87,18,12,2026,7.3
88,18,1,2026,8.0
89,18,4,2026,9.6
90,18,8,2026,8.6
91,19,6,2026,0.2
92,19,2,2026,2.3
93,19,13,2026,4.3
94,19,11,2026,3.7
95,19,12,2026,4.9
96,20,2,2026,9.0
97,20,4,2026,9.2
98,20,11,2026,9.3
99,20,7,2026,8.5
100,20,13,2026,9.5
101,21,5,2026,6.4
102,21,8,2026,5.9
103,21,3,2026,5.1
104,21,2,2026,6.7
105,21,4,2026,6.4
106,22,12,2026,6.1
107,22,1,2026,6.6
108,22,10,2026,6.0
109,22,9,2026,6.2
110,22,8,2026,5.4
111,23,6,2026,3.1
112,23,4,2026,0.2
113,23,11,2026,3.8
114,23,10,2026,0.4
115,23,9,2026,2.7
116,24,12,2026,9.4
117,24,1,2026,8.3
118,24,6,2026,9.4
119,24,10,2026,7.2
120,24,7,2026,7.4
121,25,5,2026,7.5
122,25,7,2026,9.3
123,25,10,2026,7.2
124,25,12,2026,8.0
125,25,9,2026,7.4
126,26,5,2026,5.9
127,26,8,2026,5.7
128,26,3,2026,6.1
129,26,11,2026,5.3
130,26,4,2026,5.3
131,27,8,2026,0.3
132,27,4,2026,2.9
133,27,5,2026,2.3
134,27,3,2026,0.9
135,27,13,2026,0.3
136,28,7,2026,6.1
137,28,12,2026,6.2
138,28,2,2026,6.2
139,28,4,2026,6.6
140,28,1,2026,6.3
141,29,10,2026,7.1
142,29,12,2026,8.4
143,29,2,2026,9.3
144,29,3,2026,9.5
145,29,6,2026,7.3
146,30,7,2026,3.6
147,30,4,2026,4.7
148,30,6,2026,4.4
149,30,13,2026,3.8
150,30,8,2026,4.1
151,31,13,2026,2.9
152,31,12,2026,3.8
153,31,11,2026,1.1
154,31,7,2026,3.8
155,31,8,2026,0.1
156,32,6,2026,6.7
157,32,11,2026,6.7
158,32,4,2026,6.1
159,32,10,2026,6.5
160,32,2,2026,6.6
161,33,8,2026,9.0
162,33,6,2026,9.8
163,33,10,2026,9.4
164,33,1,2026,7.5
165,33,2,2026,9.9
166,34,7,2026,8.7
167,34,10,2026,7.6
168,34,9,2026,9.0
169,34,12,2026,10.0
170,34,6,2026,9.5
171,35,8,2026,7.7
172,35,5,2026,7.3
173,35,10,2026,9.8
174,35,9,2026,7.9
175,35,1,2026,9.8
176,36,5,2026,5.9
177,36,10,2026,5.2
178,36,9,2026,5.4
179,36,7,2026,5.2
180,36,3,2026,7.0
181,37,13,2026,6.8
182,37,6,2026,5.5
183,37,2,2026,6.2
184,37,11,2026,6.0
185,37,7,2026,6.7
186,38,2,2026,6.4
187,38,1,2026,6.0
188,38,4,2026,5.2
189,38,5,2026,6.1
190,38,6,2026,6.3
191,39,1,2026,8.0
192,39,6,2026,8.3
193,39,5,2026,8.9
194,39,9,2026,7.6
195,39,2,2026,8.9
196,40,12,2026,9.3
197,40,9,2026,8.7
198,40,7,2026,7.1
199,40,5,2026,7.3
200,40,11,2026,9.3
201,41,12,2026,3.1
202,41,1,2026,2.5
203,41,9,2026,1.1
204,41,6,2026,2.1
205,41,11,2026,0.5
206,42,13,2026,5.8
207,42,3,2026,6.3
208,42,1,2026,6.2
209,42,9,2026,6.4
210,42,5,2026,5.3
211,43,11,2026,7.9
212,43,1,2026,9.2
213,43,5,2026,8.7
214,43,10,2026,8.3
215,43,3,2026,7.0
216,44,7,2026,1.3
217,44,11,2026,4.4
218,44,8,2026,4.5
219,44,6,2026,3.5
220,44,12,2026,1.4
221,45,8,2026,0.6
222,45,7,2026,3.5
223,45,2,2026,2.9
224,45,3,2026,0.6
225,45,4,2026,1.9
226,46,10,2026,6.8
227,46,7,2026,5.6
228,46,13,2026,5.9
229,46,8,2026,6.8
230,46,1,2026,6.7
231,47,6,2026,5.6
232,47,5,2026,6.4
233,47,11,2026,5.3
234,47,8,2026,6.8
235,47,13,2026,6.7
236,48,7,2026,4.0
237,48,2,2026,1.1
238,48,6,2026,4.9
239,48,4,2026,4.0
240,48,12,2026,4.2
241,49,6,2026,9.5
242,49,1,2026,8.4
243,49,13,2026,7.0
244,49,7,2026,7.4
245,49,12,2026,9.9
246,50,5,2026,5.1
247,50,11,2026,5.8
248,50,8,2026,7.0
249,50,12,2026,6.4
250,50,13,2026,6.7
251,51,1,2026,5.0
252,51,13,2026,6.7
253,51,4,2026,6.6
254,51,12,2026,5.3
255,51,3,2026,5.2
256,52,11,2026,9.8
257,52,2,2026,9.0
258,52,5,2026,7.3
259,52,1,2026,8.3
260,52,3,2026,9.3
261,53,8,2026,8.9
262,53,9,2026,8.8
263,53,3,2026,10.0
264,53,10,2026,7.2
265,53,6,2026,9.5
266,54,9,2026,5.1
267,54,12,2026,6.2
268,54,2,2026,6.3
269,54,3,2026,6.6
270,54,10,2026,5.9
271,55,8,2026,9.4
272,55,12,2026,9.0
273,55,13,2026,8.1
274,55,2,2026,9.7
275,55,11,2026,7.5
276,56,3,2026,9.1
277,56,9,2026,8.6
278,56,8,2026,9.4
279,56,4,2026,9.9
280,56,12,2026,9.3
281,57,11,2026,3.3
282,57,3,2026,0.2
283,57,6,2026,0.7
284,57,10,2026,0.6
285,57,13,2026,4.5
286,58,9,2026,5.1
287,58,13,2026,5.1
288,58,8,2026,6.4
289,58,1,2026,6.3
290,58,3,2026,7.0
291,59,8,2026,5.9
292,59,1,2026,6.7
293,59,5,2026,5.6
294,59,2,2026,6.8
295,59,6,2026,6.4
296,60,10,2026,8.5
297,60,3,2026,8.2
298,60,4,2026,7.1
299,60,7,2026,8.3
300,60,8,2026,7.3
301,61,1,2026,1.0
302,61,13,2026,4.3
303,61,6,2026,0.4
304,61,10,2026,3.8
305,61,5,2026,4.1
306,62,1,2026,8.2
307,62,13,2026,8.1
308,62,4,2026,7.8
309,62,3,2026,9.7
310,62,9,2026,8.1
311,63,7,2026,9.5
312,63,3,2026,7.5
313,63,2,2026,8.4
314,63,6,2026,7.9
315,63,11,2026,7.6
316,64,2,2026,0.2
317,64,10,2026,0.7
318,64,7,2026,3.1
319,64,3,2026,0.5
320,64,5,2026,1.0
321,65,5,2026,6.4
322,65,3,2026,5.4
323,65,12,2026,5.2
324,65,13,2026,6.3
325,65,9,2026,6.7
326,66,12,2026,7.9
327,66,2,2026,7.5
328,66,10,2026,7.8
329,66,4,2026,9.4
330,66,5,2026,9.9
331,67,2,2026,7.2
332,67,9,2026,9.9
333,67,4,2026,9.3
334,67,6,2026,7.3
335,67,10,2026,7.1
336,68,9,2026,7.2
337,68,3,2026,8.9
338,68,5,2026,9.5
339,68,12,2026,7.7
340,68,7,2026,9.3
341,69,11,2026,6.3
342,69,8,2026,5.9
343,69,7,2026,7.0
344,69,5,2026,5.7
345,69,2,2026,6.1
346,70,11,2026,0.2
347,70,3,2026,2.6
348,70,1,2026,0.8
349,70,10,2026,2.6
350,70,6,2026,4.0
351,71,6,2026,4.5
352,71,10,2026,2.8
353,71,8,2026,3.5
354,71,5,2026,0.5
355,71,12,2026,0.8
356,72,5,2026,9.4
357,72,2,2026,7.3
358,72,12,2026,8.8
359,72,3,2026,8.8
360,72,10,2026,8.0
361,73,3,2026,6.5
362,73,5,2026,5.6
363,73,7,2026,5.1
364,73,2,2026,5.0
365,73,11,2026,6.9
366,74,10,2026,1.3
367,74,12,2026,1.9
368,74,7,2026,1.7
369,74,8,2026,2.1
370,74,6,2026,3.2
371,75,3,2026,2.4
372,75,1,2026,3.5
373,75,8,2026,2.0
374,75,13,2026,4.6
375,75,4,2026,1.6
376,76,1,2026,2.1
377,76,11,2026,1.0
378,76,9,2026,0.7
379,76,8,2026,2.4
380,76,13,2026,0.3
381,77,6,2026,9.7
382,77,5,2026,8.0
383,77,9,2026,7.1
384,77,2,2026,10.0
385,77,1,2026,7.2
386,78,7,2026,7.2
387,78,9,2026,9.9
388,78,1,2026,8.8
389,78,5,2026,8.3
390,78,8,2026,10.0
391,79,13,2026,8.1
392,79,2,2026,8.0
393,79,5,2026,9.7
394,79,3,2026,8.0
395,79,9,2026,9.1
396,80,11,2026,0.9
397,80,13,2026,1.7
398,80,1,2026,2.6
399,80,7,2026,0.1
400,80,4,2026,1.5
401,81,2,2026,6.7
402,81,7,2026,5.3
403,81,8,2026,5.0
404,81,1,2026,6.5
405,81,4,2026,5.1
406,82,5,2026,3.4
407,82,2,2026,0.1
408,82,12,2026,0.5
409,82,6,2026,3.2
410,82,11,2026,1.9
411,83,1,2026,9.9
412,83,13,2026,8.8
413,83,2,2026,8.5
414,83,10,2026,9.1
415,83,12,2026,9.6
416,84,1,2026,8.9
417,84,8,2026,9.1
418,84,5,2026,7.7
419,84,2,2026,8.8
420,84,11,2026,7.3
421,85,8,2026,5.9
422,85,5,2026,5.3
423,85,10,2026,6.2
424,85,7,2026,6.6
425,85,2,2026,6.5
426,86,4,2026,6.3
427,86,8,2026,5.5
428,86,9,2026,6.0
429,86,11,2026,6.0
430,86,5,2026,6.0
431,87,10,2026,5.4
432,87,8,2026,5.6
433,87,2,2026,5.5
434,87,9,2026,6.7
435,87,7,2026,6.6
436,88,6,2026,2.2
437,88,1,2026,0.5
438,88,4,2026,1.0
439,88,3,2026,1.9
440,88,12,2026,0.2
441,89,4,2026,9.5
442,89,10,2026,8.6
443,89,3,2026,7.4
444,89,9,2026,7.8
445,89,13,2026,7.5
446,90,2,2026,5.6
447,90,1,2026,5.2
448,90,5,2026,5.9
449,90,9,2026,6.8
450,90,10,2026,6.5
451,91,4,2026,9.5
452,91,10,2026,8.4
453,91,5,2026,8.2
454,91,7,2026,7.5
455,91,6,2026,7.3
456,92,13,2026,6.4
457,92,12,2026,5.4
458,92,2,2026,5.4
459,92,7,2026,5.1
460,92,11,2026,5.6
461,93,5,2026,6.9
462,93,10,2026,6.0
463,93,1,2026,7.0
464,93,12,2026,5.4
465,93,11,2026,5.6
466,94,6,2026,5.4
467,94,2,2026,5.3
468,94,12,2026,6.3
469,94,10,2026,6.2
470,94,4,2026,6.5
471,95,8,2026,4.9
472,95,3,2026,1.3
473,95,2,2026,0.4
474,95,13,2026,3.9
475,95,6,2026,4.1
476,96,1,2026,6.7
477,96,10,2026,6.1
478,96,13,2026,5.6
479,96,7,2026,6.2
480,96,9,2026,6.0
481,97,4,2026,5.1
482,97,6,2026,5.8
483,97,10,2026,5.9
484,97,9,2026,5.3
485,97,3,2026,5.5
486,98,5,2026,4.5
487,98,11,2026,2.0
488,98,10,2026,1.4
489,98,4,2026,1.1
490,98,7,2026,4.0
491,99,3,2026,5.9
492,99,8,2026,5.7
493,99,13,2026,6.1
494,99,5,2026,5.8
495,99,12,2026,5.4
496,100,1,2026,5.5
497,100,4,2026,5.1
498,100,9,2026,5.7
499,100,12,2026,5.3
500,100,6,2026,5.6
501,101,3,2026,0.2
502,101,7,2026,4.3
503,101,11,2026,4.4
504,101,9,2026,0.2
505,101,1,2026,4.2
506,102,5,2026,8.8
507,102,8,2026,7.6
508,102,1,2026,9.4
509,102,3,2026,9.3
510,102,13,2026,8.2
511,103,11,2026,7.8
512,103,4,2026,7.6
513,103,8,2026,9.0
514,103,12,2026,9.2
515,103,6,2026,8.6
516,104,10,2026,8.0
517,104,13,2026,7.5
518,104,3,2026,8.5
519,104,12,2026,9.7
520,104,4,2026,7.2
521,105,8,2026,9.7
522,105,11,2026,9.2
523,105,6,2026,9.5
524,105,1,2026,7.4
525,105,13,2026,8.2
526,106,6,2026,0.4
527,106,7,2026,2.1
528,106,10,2026,1.5
529,106,11,2026,0.7
530,106,1,2026,3.9
531,107,6,2026,7.3
532,107,5,2026,7.8
533,107,4,2026,8.8
534,107,2,2026,10.0
535,107,11,2026,9.2
536,108,1,2026,4.6
537,108,9,2026,0.1
538,108,2,2026,0.1
539,108,5,2026,1.8
540,108,7,2026,2.9
541,109,13,2026,5.2
