id_matricula_disciplina,faltas_totais,frequencia,situacao_final
1,13,0.78,APROVADO
2,10,0.83,APROVADO
3,15,0.75,APROVADO
4,39,0.35,REPROVADO
5,1,0.98,APROVADO
6,4,0.93,APROVADO
7,12,0.8,APROVADO
8,10,0.83,APROVADO
9,8,0.87,APROVADO
10,1,0.98,APROVADO
11,1,0.98,APROVADO
12,36,0.4,REPROVADO
13,13,0.78,APROVADO
14,1,0.98,APROVADO
15,3,0.95,APROVADO
16,5,0.92,APROVADO
17,13,0.78,APROVADO
18,0,1.0,APROVADO
19,11,0.82,APROVADO
20,15,0.75,APROVADO
21,4,0.93,APROVADO
22,0,1.0,APROVADO
23,4,0.93,APROVADO
24,0,1.0,APROVADO
25,0,1.0,APROVADO
26,1,0.98,APROVADO
27,26,0.57,REPROVADO
28,4,0.93,APROVADO
29,1,0.98,APROVADO
30,12,0.8,APROVADO
31,5,0.92,REPROVADO
32,1,0.98,REPROVADO
33,40,0.33,REPROVADO
34,25,0.58,REPROVADO
35,8,0.87,APROVADO
36,12,0.8,APROVADO
37,3,0.95,APROVADO
38,13,0.78,APROVADO
39,30,0.5,REPROVADO
40,11,0.82,APROVADO
41,2,0.97,APROVADO
42,4,0.93,APROVADO
43,3,0.95,APROVADO
44,3,0.95,APROVADO
45,20,0.67,REPROVADO
46,0,1.0,APROVADO
47,4,0.93,APROVADO
48,4,0.93,APROVADO
49,1,0.98,APROVADO
50,11,0.82,APROVADO
51,3,0.95,REPROVADO
52,28,0.53,REPROVADO
53,35,0.42,REPROVADO
54,0,1.0,APROVADO
55,9,0.85,APROVADO
56,5,0.92,APROVADO
57,15,0.75,APROVADO
58,6,0.9,APROVADO
59,2,0.97,APROVADO
60,2,0.97,REPROVADO
61,11,0.82,REPROVADO
62,5,0.92,APROVADO
63,8,0.87,APROVADO
64,3,0.95,APROVADO
65,5,0.92,APROVADO
66,4,0.93,APROVADO
67,4,0.93,APROVADO
68,7,0.88,APROVADO
69,7,0.88,APROVADO
70,0,1.0,APROVADO
71,13,0.78,APROVADO
72,38,0.37,REPROVADO
73,1,0.98,APROVADO
74,15,0.75,REPROVADO
75,20,0.67,REPROVADO
76,2,0.97,APROVADO
77,10,0.83,APROVADO
78,8,0.87,APROVADO
79,1,0.98,APROVADO
80,2,0.97,APROVADO
81,0,1.0,APROVADO
82,4,0.93,APROVADO
83,18,0.7,REPROVADO
84,1,0.98,APROVADO
85,9,0.85,APROVADO
86,5,0.92,REPROVADO
87,3,0.95,APROVADO
88,15,0.75,APROVADO
89,1,0.98,APROVADO
90,2,0.97,APROVADO
91,8,0.87,APROVADO
92,38,0.37,REPROVADO
93,5,0.92,REPROVADO
94,37,0.38,REPROVADO
95,4,0.93,APROVADO
96,7,0.88,APROVADO
97,5,0.92,APROVADO
98,3,0.95,APROVADO
99,11,0.82,APROVADO
100,4,0.93,REPROVADO
101,1,0.98,APROVADO
102,4,0.93,APROVADO
103,1,0.98,APROVADO
104,6,0.9,APROVADO
105,3,0.95,APROVADO
106,2,0.97,APROVADO
107,3,0.95,APROVADO
108,0,1.0,APROVADO
109,8,0.87,REPROVADO
110,2,0.97,APROVADO
111,2,0.97,APROVADO
112,6,0.9,APROVADO
113,1,0.98,APROVADO
114,5,0.92,APROVADO
115,3,0.95,APROVADO
116,11,0.82,APROVADO
117,27,0.55,REPROVADO
118,3,0.95,REPROVADO
119,10,0.83,APROVADO
120,1,0.98,APROVADO
121,13,0.78,APROVADO
122,4,0.93,APROVADO
123,4,0.93,APROVADO
124,5,0.92,REPROVADO
125,3,0.95,APROVADO
126,5,0.92,APROVADO
127,24,0.6,REPROVADO
128,5,0.92,APROVADO
129,11,0.82,APROVADO
130,1,0.98,APROVADO
131,12,0.8,APROVADO
132,28,0.53,REPROVADO
133,4,0.93,APROVADO
134,2,0.97,APROVADO
135,6,0.9,APROVADO
136,7,0.88,APROVADO
137,2,0.97,APROVADO
138,0,1.0,APROVADO
139,3,0.95,APROVADO
140,18,0.7,REPROVADO
141,14,0.77,APROVADO
142,18,0.7,REPROVADO
143,5,0.92,APROVADO
144,15,0.75,APROVADO
145,2,0.97,APROVADO
146,4,0.93,APROVADO
147,15,0.75,APROVADO
148,5,0.92,APROVADO
149,5,0.92,REPROVADO
150,21,0.65,REPROVADO
151,32,0.47,REPROVADO
152,2,0.97,APROVADO
153,2,0.97,APROVADO
154,13,0.78,APROVADO
155,7,0.88,APROVADO
156,4,0.93,APROVADO
157,30,0.5,REPROVADO
158,1,0.98,APROVADO
159,0,1.0,APROVADO
160,3,0.95,APROVADO
161,7,0.88,REPROVADO
162,1,0.98,APROVADO
163,4,0.93,APROVADO
164,4,0.93,APROVADO
165,11,0.82,APROVADO
166,26,0.57,REPROVADO
167,8,0.87,APROVADO
168,10,0.83,APROVADO
169,25,0.58,REPROVADO
170,4,0.93,APROVADO
171,13,0.78,APROVADO
172,7,0.88,APROVADO
173,1,0.98,REPROVADO
174,6,0.9,REPROVADO
175,16,0.73,REPROVADO
176,14,0.77,APROVADO
177,2,0.97,APROVADO
178,2,0.97,APROVADO
179,10,0.83,APROVADO
180,14,0.77,APROVADO
181,12,0.8,APROVADO
182,1,0.98,APROVADO
183,15,0.75,APROVADO
184,40,0.33,REPROVADO
185,29,0.52,REPROVADO
186,12,0.8,APROVADO
187,3,0.95,APROVADO
188,0,1.0,APROVADO
189,3,0.95,APROVADO
190,5,0.92,APROVADO
191,4,0.93,APROVADO
192,14,0.77,APROVADO
193,1,0.98,APROVADO
194,11,0.82,APROVADO
195,5,0.92,APROVADO
196,5,0.92,APROVADO
